Date,Daily_RF
2015-01-02,5.95193620611667e-07
2015-01-05,1.1904584140687291e-07
2015-01-06,7.935717363238837e-07
2015-01-07,7.935717363238837e-07
2015-01-08,7.142216607025631e-07
2015-01-09,5.95193620611667e-07
2015-01-12,5.158396307880508e-07
2015-01-13,9.125938866816341e-07
2015-01-14,9.919400114632992e-07
2015-01-15,9.125938866816341e-07
2015-01-16,7.142216607025631e-07
2015-01-20,3.1744768524966105e-07
2015-01-21,7.935717363238837e-07
2015-01-22,5.95193620611667e-07
2015-01-23,5.158396307880508e-07
2015-01-26,1.9840775355994822e-07
2015-01-27,7.142216607025631e-07
2015-01-28,5.95193620611667e-07
2015-01-29,3.968056268011111e-07
2015-01-30,1.9840775355994822e-07
2015-02-02,1.9840775355994822e-07
2015-02-03,5.95193620611667e-07
2015-02-04,1.9840775355994822e-07
2015-02-05,3.1744768524966105e-07
2015-02-06,5.95193620611667e-07
2015-02-09,1.1904584140687291e-07
2015-02-10,1.9840775355994822e-07
2015-02-11,1.9840775355994822e-07
2015-02-12,3.1744768524966105e-07
2015-02-13,1.9840775355994822e-07
2015-02-17,3.1744768524966105e-07
2015-02-18,5.158396307880508e-07
2015-02-19,5.158396307880508e-07
2015-02-20,3.968056268011111e-07
2015-02-23,5.95193620611667e-07
2015-02-24,7.142216607025631e-07
2015-02-25,5.95193620611667e-07
2015-02-26,5.158396307880508e-07
2015-02-27,3.1744768524966105e-07
2015-03-02,1.9840775355994822e-07
2015-03-03,5.158396307880508e-07
2015-03-04,3.968056268011111e-07
2015-03-05,1.1904584140687291e-07
2015-03-06,1.9840775355994822e-07
2015-03-09,1.9840775355994822e-07
2015-03-10,3.968056268011111e-07
2015-03-11,5.158396307880508e-07
2015-03-12,7.142216607025631e-07
2015-03-13,9.125938866816341e-07
2015-03-16,1.1902983365619235e-06
2015-03-17,1.9043067378543554e-06
2015-03-18,1.5076511605816023e-06
2015-03-19,3.968056268011111e-07
2015-03-20,1.1904584140687291e-07
2015-03-23,1.1904584140687291e-07
2015-03-24,5.95193620611667e-07
2015-03-25,7.142216607025631e-07
2015-03-26,1.1109562358946334e-06
2015-03-27,1.1902983365619235e-06
2015-03-30,9.125938866816341e-07
2015-03-31,9.919400114632992e-07
2015-04-01,1.3093086357329753e-06
2015-04-02,3.968056268011111e-07
2015-04-06,1.1904584140687291e-07
2015-04-07,5.95193620611667e-07
2015-04-08,7.142216607025631e-07
2015-04-09,7.935717363238837e-07
2015-04-10,5.95193620611667e-07
2015-04-13,1.9840775355994822e-07
2015-04-14,3.968056268011111e-07
2015-04-15,5.95193620611667e-07
2015-04-16,3.968056268011111e-07
2015-04-17,5.158396307880508e-07
2015-04-20,5.158396307880508e-07
2015-04-21,7.935717363238837e-07
2015-04-22,7.935717363238837e-07
2015-04-23,7.935717363238837e-07
2015-04-24,5.95193620611667e-07
2015-04-27,5.158396307880508e-07
2015-04-28,5.158396307880508e-07
2015-04-29,1.1904584140687291e-07
2015-04-30,1.9840775355994822e-07
2015-05-01,1.1904584140687291e-07
2015-05-04,1.1904584140687291e-07
2015-05-05,3.1744768524966105e-07
2015-05-06,3.968056268011111e-07
2015-05-07,1.9840775355994822e-07
2015-05-08,1.1904584140687291e-07
2015-05-11,1.9840775355994822e-07
2015-05-12,5.158396307880508e-07
2015-05-13,3.968056268011111e-07
2015-05-14,3.968056268011111e-07
2015-05-15,3.968056268011111e-07
2015-05-18,3.1744768524966105e-07
2015-05-19,3.968056268011111e-07
2015-05-20,5.158396307880508e-07
2015-05-21,5.158396307880508e-07
2015-05-22,3.968056268011111e-07
2015-05-26,3.968056268011111e-07
2015-05-27,5.158396307880508e-07
2015-05-28,1.1904584140687291e-07
2015-05-29,1.1904584140687291e-07
2015-06-01,3.1744768524966105e-07
2015-06-02,3.968056268011111e-07
2015-06-03,3.968056268011111e-07
2015-06-04,1.9840775355994822e-07
2015-06-05,3.968056268011111e-07
2015-06-08,3.968056268011111e-07
2015-06-09,5.158396307880508e-07
2015-06-10,5.158396307880508e-07
2015-06-11,3.1744768524966105e-07
2015-06-12,1.9840775355994822e-07
2015-06-15,1.1904584140687291e-07
2015-06-16,3.1744768524966105e-07
2015-06-17,1.1904584140687291e-07
2015-06-18,1.1904584140687291e-07
2015-06-19,1.1904584140687291e-07
2015-06-22,1.1904584140687291e-07
2015-06-23,3.1744768524966105e-07
2015-06-24,1.9840775355994822e-07
2015-06-25,1.9840775355994822e-07
2015-06-26,1.9840775355994822e-07
2015-06-29,1.9840775355994822e-07
2015-06-30,3.968056268011111e-07
2015-07-01,1.1904584140687291e-07
2015-07-02,1.1904584140687291e-07
2015-07-06,1.9840775355994822e-07
2015-07-07,3.968056268011111e-07
2015-07-08,3.968056268011111e-07
2015-07-09,3.1744768524966105e-07
2015-07-10,3.1744768524966105e-07
2015-07-13,3.1744768524966105e-07
2015-07-14,3.968056268011111e-07
2015-07-15,5.158396307880508e-07
2015-07-16,3.968056268011111e-07
2015-07-17,5.158396307880508e-07
2015-07-20,9.125938866816341e-07
2015-07-21,1.1902983365619235e-06
2015-07-22,1.1902983365619235e-06
2015-07-23,1.1902983365619235e-06
2015-07-24,1.1902983365619235e-06
2015-07-27,1.1109562358946334e-06
2015-07-28,1.7059839594324444e-06
2015-07-29,1.7853142850743353e-06
2015-07-30,2.3802411603934814e-06
2015-07-31,2.3009226801651295e-06
2015-08-03,2.499215993712056e-06
2015-08-04,2.9750795063065993e-06
2015-08-05,2.9750795063065993e-06
2015-08-06,1.1109562358946334e-06
2015-08-07,2.1819420727986483e-06
2015-08-10,2.578530378549715e-06
2015-08-11,3.886992030022185e-06
2015-08-12,3.569828905813921e-06
2015-08-13,3.2922899788623283e-06
2015-08-14,3.173338974260531e-06
2015-08-17,2.3802411603934814e-06
2015-08-18,3.3715888723140353e-06
2015-08-19,1.5869854355088364e-06
2015-08-20,5.95193620611667e-07
2015-08-21,7.935717363238837e-07
2015-08-24,5.95193620611667e-07
2015-08-25,2.102619644395176e-06
2015-08-26,2.1819420727986483e-06
2015-08-27,1.9836331146549924e-06
2015-08-28,1.9836331146549924e-06
2015-08-31,1.1904584140687291e-07
2015-09-01,1.5076511605816023e-06
2015-09-02,9.919400114632992e-07
2015-09-03,5.95193620611667e-07
2015-09-04,9.919400114632992e-07
2015-09-08,9.919400114632992e-07
2015-09-09,1.3886468601675972e-06
2015-09-10,5.95193620611667e-07
2015-09-11,9.125938866816341e-07
2015-09-14,9.919400114632992e-07
2015-09-15,2.3009226801651295e-06
2015-09-16,2.102619644395176e-06
2015-09-17,1.1904584140687291e-07
2015-09-18,3.968056268011111e-07
2015-09-21,5.158396307880508e-07
2015-09-22,1.1904584140687291e-07
2015-09-23,1.1904584140687291e-07
2015-09-24,1.9840775355994822e-07
2015-09-25,7.935717363238837e-07
2015-09-28,5.158396307880508e-07
2015-09-29,1.1904584140687291e-07
2015-09-30,1.9840775355994822e-07
2015-10-01,7.142216607025631e-07
2015-10-02,3.1744768524966105e-07
2015-10-05,3.1744768524966105e-07
2015-10-06,1.9840775355994822e-07
2015-10-07,1.9840775355994822e-07
2015-10-08,1.1904584140687291e-07
2015-10-09,1.1904584140687291e-07
2015-10-12,3.968056268011111e-07
2015-10-13,1.9840775355994822e-07
2015-10-14,3.968056268011111e-07
2015-10-15,1.9840775355994822e-07
2015-10-16,1.9840775355994822e-07
2015-10-19,1.9840775355994822e-07
2015-10-20,3.968056268011111e-07
2015-10-21,1.9840775355994822e-07
2015-10-22,1.9840775355994822e-07
2015-10-23,1.1904584140687291e-07
2015-10-26,3.1744768524966105e-07
2015-10-27,3.968056268011111e-07
2015-10-28,1.3886468601675972e-06
2015-10-29,2.102619644395176e-06
2015-10-30,2.697499438486517e-06
2015-11-02,2.102619644395176e-06
2015-11-03,2.3009226801651295e-06
2015-11-04,2.1819420727986483e-06
2015-11-05,1.5869854355088364e-06
2015-11-06,2.8957727200573657e-06
2015-11-09,2.9750795063065993e-06
2015-11-10,4.957232130120559e-06
