pair,entry_date,exit_date,return_before_cost,direction,converged,days_open,window_id,transaction_cost,return_after_cost
"('AEP', 'DTE')",2016-01-25,2016-02-10,0.03668759752022144,long_A_short_B,True,16,0,0.01,0.026687597520221436
"('AEP', 'DTE')",2016-04-28,2016-06-30,-0.013417009989490358,long_A_short_B,False,63,0,0.01,-0.02341700998949036
"('DTE', 'ES')",2016-03-04,2016-04-05,0.030278762440454354,long_A_short_B,True,32,0,0.01,0.020278762440454352
"('DTE', 'ES')",2016-05-17,2016-06-30,-0.03895397155956748,short_A_long_B,False,44,0,0.01,-0.04895397155956748
"('AEP', 'SO')",2016-02-03,2016-06-30,0.0037297123346169414,short_A_long_B,False,148,0,0.01,-0.006270287665383059
"('AEP', 'ES')",2016-06-07,2016-06-30,0.010853803448087396,short_A_long_B,False,23,0,0.01,0.0008538034480873955
"('PRU', 'RF')",2016-01-25,2016-02-05,0.06765492191698419,short_A_long_B,True,11,0,0.01,0.05765492191698419
"('PRU', 'RF')",2016-02-16,2016-02-17,0.05236187404038173,long_A_short_B,True,1,0,0.01,0.042361874040381726
"('PRU', 'RF')",2016-02-25,2016-04-27,0.08101407893170953,short_A_long_B,True,62,0,0.01,0.07101407893170954
"('PRU', 'RF')",2016-05-26,2016-06-27,0.03457651821408758,long_A_short_B,True,32,0,0.01,0.02457651821408758
"('DTE', 'SO')",2016-01-29,2016-06-30,-0.06378526882941893,short_A_long_B,False,153,0,0.01,-0.07378526882941892
"('TFC', 'WFC')",2016-01-21,2016-02-26,0.047860543061480465,long_A_short_B,True,36,0,0.01,0.03786054306148046
"('TFC', 'WFC')",2016-05-18,2016-06-30,-0.04982120339484619,short_A_long_B,False,43,0,0.01,-0.059821203394846194
"('ES', 'WEC')",2016-02-05,2016-06-30,-0.050196468471066735,long_A_short_B,False,146,0,0.01,-0.06019646847106674
"('ES', 'SO')",2016-02-03,2016-06-30,0.03768154983047922,short_A_long_B,False,148,0,0.01,0.02768154983047922
"('BRO', 'MRSH')",2016-01-25,2016-03-07,0.05652387016558946,long_A_short_B,True,42,0,0.01,0.04652387016558946
"('BRO', 'MRSH')",2016-04-19,2016-06-30,0.008721860764469236,long_A_short_B,False,72,0,0.01,-0.0012781392355307643
"('L', 'TROW')",2016-03-07,2016-05-18,0.04437230256862401,long_A_short_B,True,72,0,0.01,0.03437230256862401
"('L', 'TROW')",2016-05-25,2016-06-10,0.0491625681182738,long_A_short_B,True,16,0,0.01,0.039162568118273795
"('L', 'TROW')",2016-06-27,2016-06-30,0.007391555041258213,short_A_long_B,False,3,0,0.01,-0.002608444958741787
"('AVB', 'EQR')",2016-05-10,2016-06-30,0.007530273864548742,short_A_long_B,False,51,0,0.01,-0.002469726135451258
"('DHR', 'RSG')",2016-01-07,2016-06-30,-0.030783688946575127,long_A_short_B,False,175,0,0.01,-0.04078368894657513
"('KIM', 'REG')",2016-05-17,2016-06-30,0.0298713585830217,long_A_short_B,False,44,0,0.01,0.0198713585830217
"('ITW', 'OMC')",2016-01-14,2016-02-03,0.062010677167681605,long_A_short_B,True,20,0,0.01,0.0520106771676816
"('ITW', 'OMC')",2016-02-08,2016-02-10,0.05201411422629065,short_A_long_B,True,2,0,0.01,0.04201411422629065
"('ITW', 'OMC')",2016-06-01,2016-06-30,0.007103803826646549,short_A_long_B,False,29,0,0.01,-0.0028961961733534516
"('O', 'REG')",2016-02-02,2016-06-30,-0.0592515341776747,short_A_long_B,False,149,0,0.01,-0.0692515341776747
"('DTE', 'EIX')",2016-02-24,2016-06-30,0.010205512663725713,long_A_short_B,False,127,0,0.01,0.000205512663725713
"('CMS', 'PCG')",2016-01-25,2016-06-30,-0.022266332637837838,short_A_long_B,False,157,0,0.01,-0.03226633263783784
"('AMT', 'JNJ')",2016-01-15,2016-01-22,0.05756090901550859,long_A_short_B,True,7,0,0.01,0.047560909015508586
"('AMT', 'JNJ')",2016-01-26,2016-04-08,0.0626704058943337,long_A_short_B,True,73,0,0.01,0.0526704058943337
"('AMT', 'JNJ')",2016-04-20,2016-06-30,0.013627453493339603,long_A_short_B,False,71,0,0.01,0.0036274534933396028
"('KIM', 'O')",2016-01-14,2016-06-30,-0.10151145226997516,long_A_short_B,False,168,0,0.01,-0.11151145226997515
"('DTE', 'ES')",2016-03-04,2016-04-06,0.032987914148566055,long_A_short_B,True,33,1,0.01,0.022987914148566053
"('DTE', 'ES')",2016-05-20,2016-07-29,-0.03416709388597505,short_A_long_B,False,70,1,0.01,-0.044167093885975055
"('AEP', 'SO')",2016-02-03,2016-07-29,0.0136895108571633,short_A_long_B,False,177,1,0.01,0.0036895108571633004
"('ES', 'WEC')",2016-02-08,2016-03-04,0.033890851647077724,long_A_short_B,True,25,1,0.01,0.023890851647077722
"('ES', 'WEC')",2016-05-17,2016-07-29,-0.045547228998606526,long_A_short_B,False,73,1,0.01,-0.05554722899860653
"('AEE', 'XEL')",2016-05-12,2016-05-31,0.04118719622433298,long_A_short_B,True,19,1,0.01,0.031187196224332976
"('AEP', 'PCG')",2016-06-02,2016-07-29,0.008064684465455052,long_A_short_B,False,57,1,0.01,-0.0019353155345449482
"('ES', 'SO')",2016-02-03,2016-07-12,0.057881091244125216,short_A_long_B,True,160,1,0.01,0.047881091244125214
"('SO', 'WEC')",2016-02-03,2016-07-29,-0.03766475190840479,long_A_short_B,False,177,1,0.01,-0.047664751908404794
"('DTE', 'PCG')",2016-02-25,2016-03-10,0.03412619348612289,long_A_short_B,True,14,1,0.01,0.02412619348612289
"('DTE', 'PCG')",2016-04-20,2016-05-04,0.034996813365753665,long_A_short_B,True,14,1,0.01,0.024996813365753663
"('DTE', 'PCG')",2016-06-09,2016-06-27,0.03095677149789977,long_A_short_B,True,18,1,0.01,0.02095677149789977
"('NTRS', 'RF')",2016-02-16,2016-02-18,0.04230989574956978,long_A_short_B,True,2,1,0.01,0.03230989574956978
"('NTRS', 'RF')",2016-03-08,2016-04-25,0.04341048189303853,short_A_long_B,True,48,1,0.01,0.03341048189303853
"('NTRS', 'RF')",2016-05-18,2016-06-27,0.04036350283291701,long_A_short_B,True,40,1,0.01,0.030363502832917007
"('NTRS', 'RF')",2016-07-13,2016-07-29,-0.008876653336777451,long_A_short_B,False,16,1,0.01,-0.018876653336777453
"('ES', 'PCG')",2016-04-13,2016-07-29,-0.04357722538904163,long_A_short_B,False,107,1,0.01,-0.05357722538904163
"('HON', 'MRSH')",2016-02-08,2016-07-29,-0.049446898491437574,long_A_short_B,False,172,1,0.01,-0.059446898491437576
"('AEP', 'ES')",2016-04-12,2016-04-28,0.03824777554990488,short_A_long_B,True,16,1,0.01,0.02824777554990488
"('AEP', 'ES')",2016-05-20,2016-07-29,-0.012207556475602566,short_A_long_B,False,70,1,0.01,-0.022207556475602568
"('MMM', 'GPC')",2016-02-19,2016-05-17,0.040766348680655984,long_A_short_B,True,88,1,0.01,0.030766348680655982
"('MMM', 'GPC')",2016-07-01,2016-07-18,0.033297285911731866,long_A_short_B,True,17,1,0.01,0.023297285911731865
"('MMM', 'GPC')",2016-07-21,2016-07-26,0.036998866637427574,short_A_long_B,True,5,1,0.01,0.026998866637427572
"('EQR', 'ESS')",2016-04-27,2016-07-29,-0.05225091567176465,long_A_short_B,False,93,1,0.01,-0.062250915671764655
"('AEP', 'DTE')",2016-04-12,2016-04-28,0.037338355093762154,short_A_long_B,True,16,1,0.01,0.027338355093762153
"('AEP', 'DTE')",2016-06-24,2016-07-29,0.01003304763263868,long_A_short_B,False,35,1,0.01,3.3047632638680616e-05
"('BRO', 'MRSH')",2016-02-17,2016-03-03,0.04356673859106408,long_A_short_B,True,15,1,0.01,0.03356673859106408
"('BRO', 'MRSH')",2016-03-22,2016-04-08,0.041681099310896697,short_A_long_B,True,17,1,0.01,0.031681099310896695
"('BRO', 'MRSH')",2016-04-19,2016-07-29,0.02267167530325298,long_A_short_B,False,101,1,0.01,0.01267167530325298
"('AVB', 'ESS')",2016-02-11,2016-04-19,0.0561055428482482,short_A_long_B,True,68,1,0.01,0.0461055428482482
"('CMS', 'XEL')",2016-06-27,2016-08-31,0.005634015084430288,short_A_long_B,False,65,2,0.01,-0.004365984915569712
"('AEP', 'SO')",2016-08-26,2016-08-31,-0.007339752247981446,long_A_short_B,False,5,2,0.01,-0.017339752247981448
"('PRU', 'RF')",2016-03-04,2016-03-09,0.04010288504584136,long_A_short_B,True,5,2,0.01,0.03010288504584136
"('PRU', 'RF')",2016-03-30,2016-04-15,0.06438300210107695,short_A_long_B,True,16,2,0.01,0.054383002101076945
"('PRU', 'RF')",2016-04-20,2016-08-31,-0.07095295733217166,long_A_short_B,False,133,2,0.01,-0.08095295733217166
"('GPC', 'ITW')",2016-04-19,2016-06-27,0.056478946691004284,long_A_short_B,True,69,2,0.01,0.04647894669100428
"('GPC', 'ITW')",2016-07-15,2016-08-31,-0.06996239892416822,long_A_short_B,False,47,2,0.01,-0.07996239892416822
"('ES', 'PCG')",2016-05-24,2016-08-31,-0.07099853660584343,long_A_short_B,False,99,2,0.01,-0.08099853660584343
"('HON', 'MRSH')",2016-05-18,2016-08-31,-0.01302789972696794,long_A_short_B,False,105,2,0.01,-0.02302789972696794
"('DTE', 'ES')",2016-05-04,2016-08-31,-0.08030060942209671,short_A_long_B,False,119,2,0.01,-0.09030060942209671
"('DTE', 'PCG')",2016-03-10,2016-04-20,0.03441017730015239,short_A_long_B,True,41,2,0.01,0.024410177300152387
"('DTE', 'PCG')",2016-05-04,2016-06-10,0.03600486746363729,short_A_long_B,True,37,2,0.01,0.02600486746363729
"('DTE', 'PCG')",2016-06-24,2016-08-05,0.03278351842337668,short_A_long_B,True,42,2,0.01,0.022783518423376677
"('AEE', 'WEC')",2016-05-16,2016-07-01,0.05028602434537377,long_A_short_B,True,46,2,0.01,0.04028602434537377
"('AEE', 'ES')",2016-05-31,2016-08-31,-0.028917016710645504,short_A_long_B,False,92,2,0.01,-0.038917016710645506
"('AEP', 'DTE')",2016-04-29,2016-08-31,-0.01589961378707838,long_A_short_B,False,124,2,0.01,-0.025899613787078384
"('MMM', 'GPC')",2016-03-17,2016-04-19,0.0515775762002223,long_A_short_B,True,33,2,0.01,0.041577576200222295
"('MMM', 'GPC')",2016-07-19,2016-08-31,0.03575335529274959,short_A_long_B,False,43,2,0.01,0.025753355292749587
"('MMM', 'ITW')",2016-04-13,2016-06-24,0.04107039985168226,long_A_short_B,True,72,2,0.01,0.031070399851682258
"('MMM', 'ITW')",2016-07-20,2016-08-31,-0.046396970224959366,long_A_short_B,False,42,2,0.01,-0.05639697022495937
"('ITW', 'OMC')",2016-05-25,2016-08-31,-0.08032789920324834,short_A_long_B,False,98,2,0.01,-0.09032789920324834
"('EXPD', 'UPS')",2016-07-14,2016-08-02,0.05855740012625987,long_A_short_B,True,19,2,0.01,0.04855740012625987
"('CCI', 'PEP')",2016-03-09,2016-05-18,0.0658854271852014,long_A_short_B,True,70,2,0.01,0.055885427185201404
"('CCI', 'PEP')",2016-06-22,2016-08-16,0.04568395294416905,short_A_long_B,True,55,2,0.01,0.035683952944169046
"('WEC', 'XEL')",2016-05-05,2016-09-30,0.008991800245572446,short_A_long_B,False,148,3,0.01,-0.0010081997544275547
"('PNC', 'WFC')",2016-05-18,2016-06-01,0.032916542490454725,short_A_long_B,True,14,3,0.01,0.022916542490454724
"('PNC', 'WFC')",2016-06-29,2016-08-05,0.038454720148167976,long_A_short_B,True,37,3,0.01,0.028454720148167974
"('PNC', 'WFC')",2016-09-07,2016-09-30,-0.10665864713547935,short_A_long_B,False,23,3,0.01,-0.11665864713547934
"('AEP', 'SO')",2016-08-31,2016-09-30,-0.004991053616600238,long_A_short_B,False,30,3,0.01,-0.014991053616600239
"('DTE', 'PCG')",2016-08-19,2016-09-26,0.04269632123100786,long_A_short_B,True,38,3,0.01,0.03269632123100786
"('CMS', 'WEC')",2016-05-04,2016-09-30,0.0103575942265286,long_A_short_B,False,149,3,0.01,0.00035759422652859897
"('MMM', 'ITW')",2016-06-27,2016-07-20,0.07861549957638325,short_A_long_B,True,23,3,0.01,0.06861549957638326
"('MMM', 'ITW')",2016-07-25,2016-09-30,-0.062358725981326746,long_A_short_B,False,67,3,0.01,-0.07235872598132674
"('AEE', 'CMS')",2016-05-12,2016-09-30,0.03466933446404674,long_A_short_B,False,141,3,0.01,0.02466933446404674
"('NTRS', 'PRU')",2016-05-26,2016-07-12,0.03354568123857127,short_A_long_B,True,47,3,0.01,0.023545681238571266
"('NTRS', 'PRU')",2016-09-09,2016-09-30,-0.04511840407852308,long_A_short_B,False,21,3,0.01,-0.05511840407852308
"('CB', 'TRV')",2016-04-21,2016-09-30,-0.011065865174334055,short_A_long_B,False,162,3,0.01,-0.021065865174334057
"('AEE', 'ES')",2016-06-09,2016-09-30,-0.014248932791267821,short_A_long_B,False,113,3,0.01,-0.024248932791267823
"('HON', 'MRSH')",2016-05-12,2016-09-30,-0.018445493277075453,long_A_short_B,False,141,3,0.01,-0.028445493277075455
"('KIM', 'REG')",2016-05-17,2016-07-12,0.06657414680221496,long_A_short_B,True,56,3,0.01,0.05657414680221496
"('DTE', 'ES')",2016-05-24,2016-09-30,-0.0594153233142265,short_A_long_B,False,129,3,0.01,-0.06941532331422649
"('AEE', 'XEL')",2016-05-11,2016-06-23,0.03856415751143616,long_A_short_B,True,43,3,0.01,0.028564157511436157
"('BK', 'NTRS')",2016-07-06,2016-09-30,0.002987714193203317,short_A_long_B,False,86,3,0.01,-0.007012285806796683
"('ES', 'PCG')",2016-05-24,2016-09-30,-0.05379471276705439,long_A_short_B,False,129,3,0.01,-0.06379471276705438
"('KO', 'PEP')",2016-05-09,2016-09-30,-0.09792985317497727,long_A_short_B,False,144,3,0.01,-0.10792985317497726
"('JPM', 'MTB')",2016-07-20,2016-10-31,-0.006447642163223355,short_A_long_B,False,103,4,0.01,-0.016447642163223357
"('AEE', 'PPL')",2016-06-13,2016-10-31,-0.09739529352167742,short_A_long_B,False,140,4,0.01,-0.10739529352167741
"('MMM', 'GPC')",2016-07-19,2016-07-28,0.047063002905622486,short_A_long_B,True,9,4,0.01,0.037063002905622484
"('MMM', 'GPC')",2016-09-08,2016-10-06,0.04196022246962605,short_A_long_B,True,28,4,0.01,0.03196022246962605
"('MMM', 'GPC')",2016-10-19,2016-10-31,0.010522887693064864,short_A_long_B,False,12,4,0.01,0.0005228876930648638
"('AEP', 'SO')",2016-05-09,2016-07-25,0.03866589301743817,short_A_long_B,True,77,4,0.01,0.028665893017438167
"('AEP', 'SO')",2016-09-21,2016-10-31,0.009879032799702703,long_A_short_B,False,40,4,0.01,-0.00012096720029729745
"('AEE', 'ES')",2016-05-31,2016-10-31,-0.020420350586445313,short_A_long_B,False,153,4,0.01,-0.030420350586445315
"('TFC', 'WFC')",2016-06-06,2016-10-31,-0.15569042390622778,short_A_long_B,False,147,4,0.01,-0.1656904239062278
"('ES', 'SO')",2016-07-12,2016-10-31,-0.027183726046685397,long_A_short_B,False,111,4,0.01,-0.0371837260466854
"('ES', 'WEC')",2016-05-20,2016-10-31,-0.009365915360340482,long_A_short_B,False,164,4,0.01,-0.019365915360340484
"('PPL', 'XEL')",2016-06-24,2016-10-31,-0.0338638131730673,long_A_short_B,False,129,4,0.01,-0.043863813173067305
"('CB', 'KO')",2016-05-13,2016-10-31,-0.07664293927632826,short_A_long_B,False,171,4,0.01,-0.08664293927632825
"('KIM', 'PPL')",2016-06-24,2016-10-31,0.01801953871451889,short_A_long_B,False,129,4,0.01,0.00801953871451889
"('KIM', 'REG')",2016-05-17,2016-07-12,0.06657414680221496,long_A_short_B,True,56,4,0.01,0.05657414680221496
"('NTRS', 'PRU')",2016-06-09,2016-07-08,0.046773001183496365,short_A_long_B,True,29,4,0.01,0.036773001183496364
"('NTRS', 'PRU')",2016-07-20,2016-10-31,-0.03742298880451478,long_A_short_B,False,103,4,0.01,-0.04742298880451478
"('ES', 'PPL')",2016-05-24,2016-06-24,0.06886041659624897,long_A_short_B,True,31,4,0.01,0.05886041659624897
"('ES', 'PPL')",2016-06-27,2016-10-31,0.0016332147490772941,short_A_long_B,False,126,4,0.01,-0.008366785250922706
"('AVB', 'EQR')",2016-05-17,2016-05-31,0.03965215066158734,short_A_long_B,True,14,4,0.01,0.029652150661587336
"('AVB', 'EQR')",2016-07-27,2016-10-05,0.04673748352771523,short_A_long_B,True,70,4,0.01,0.03673748352771523
"('JPM', 'PNC')",2016-06-29,2016-10-31,0.05650268075150544,short_A_long_B,False,124,4,0.01,0.04650268075150544
"('WEC', 'XEL')",2016-11-07,2016-11-30,0.016221688434519543,long_A_short_B,False,23,5,0.01,0.006221688434519543
"('AEP', 'ES')",2016-09-07,2016-10-20,0.04211278425893006,short_A_long_B,True,43,5,0.01,0.032112784258930056
"('CMS', 'WEC')",2016-10-24,2016-11-30,-0.0020485832293417605,short_A_long_B,False,37,5,0.01,-0.01204858322934176
"('ED', 'WEC')",2016-09-29,2016-11-30,0.015054877527670207,short_A_long_B,False,62,5,0.01,0.005054877527670207
"('NTRS', 'PRU')",2016-07-14,2016-11-30,-0.12036347471479703,long_A_short_B,False,139,5,0.01,-0.13036347471479703
"('JPM', 'PNC')",2016-07-07,2016-10-27,0.06493178450073778,short_A_long_B,True,112,5,0.01,0.054931784500737775
"('JPM', 'PNC')",2016-11-17,2016-11-30,0.028099998227756218,long_A_short_B,False,13,5,0.01,0.018099998227756216
