ticker_A,ticker_B,entry_date,exit_date,direction,return_before_cost,return_after_cost,transaction_cost,converged,days_open,window_id,formation_start,trading_start,beta
DTE,ES,2016-01-04,2016-05-19,short_B_long_A,0.0009407593854104945,-0.009059240614589506,0.01,True,136,0,2015-01-02,2016-01-04,0.7441277631049463
DTE,ES,2016-06-03,2016-06-30,long_B_short_A,0.009956423355414856,-4.357664458514397e-05,0.01,False,27,0,2015-01-02,2016-01-04,0.7441277631049463
DTE,PNW,2016-01-04,2016-01-26,short_B_long_A,0.03361605881339628,0.023616058813396276,0.01,True,22,0,2015-01-02,2016-01-04,0.9844040763687038
DTE,PNW,2016-02-11,2016-06-30,short_B_long_A,-0.015396920757726834,-0.025396920757726836,0.01,False,140,0,2015-01-02,2016-01-04,0.9844040763687038
ES,PNW,2016-01-26,2016-02-08,long_B_short_A,0.0338164738585535,0.023816473858553497,0.01,True,13,0,2015-01-02,2016-01-04,1.2604378804693868
ES,PNW,2016-03-07,2016-03-17,long_B_short_A,0.021993083811284383,0.011993083811284383,0.01,True,10,0,2015-01-02,2016-01-04,1.2604378804693868
ES,PNW,2016-04-05,2016-06-30,short_B_long_A,-0.021787617751091753,-0.031787617751091755,0.01,False,86,0,2015-01-02,2016-01-04,1.2604378804693868
AEP,SO,2016-01-25,2016-02-02,short_B_long_A,0.017299242545922598,0.007299242545922598,0.01,True,8,0,2015-01-02,2016-01-04,0.8396546246340992
AEP,SO,2016-02-03,2016-06-30,long_B_short_A,0.024050520164600603,0.014050520164600603,0.01,False,148,0,2015-01-02,2016-01-04,0.8396546246340992
PRU,RF,2016-01-25,2016-02-05,long_B_short_A,0.03494942575991567,0.02494942575991567,0.01,True,11,0,2015-01-02,2016-01-04,0.12250692509061614
PRU,RF,2016-02-24,2016-04-27,long_B_short_A,0.27387467085187656,0.26387467085187655,0.01,True,63,0,2015-01-02,2016-01-04,0.12250692509061614
PRU,RF,2016-05-25,2016-06-27,short_B_long_A,1.4039463607855391,1.3939463607855391,0.01,True,33,0,2015-01-02,2016-01-04,0.12250692509061614
TFC,WFC,2016-01-22,2016-02-08,short_B_long_A,0.015919446026778777,0.005919446026778777,0.01,True,17,0,2015-01-02,2016-01-04,1.2474611370830841
TFC,WFC,2016-04-14,2016-06-30,long_B_short_A,-0.07320364635949445,-0.08320364635949444,0.01,False,77,0,2015-01-02,2016-01-04,1.2474611370830841
EQR,FRT,2016-01-20,2016-06-30,short_B_long_A,-0.04614119254563541,-0.05614119254563541,0.01,False,162,0,2015-01-02,2016-01-04,2.1353948931372067
AEP,PNW,2016-01-19,2016-04-20,long_B_short_A,0.0313470129830464,0.0213470129830464,0.01,True,92,0,2015-01-02,2016-01-04,1.310999527268517
DHR,RSG,2016-01-06,2016-06-30,short_B_long_A,-0.10597866261439223,-0.11597866261439223,0.01,False,176,0,2015-01-02,2016-01-04,0.8132282098225824
