ticker_A,ticker_B,entry_date,exit_date,direction,return_before_cost,return_after_cost,transaction_cost,converged,days_open,window_id,formation_start,trading_start
AEP,DTE,2016-01-13,2016-06-30,long_A_short_B,-0.02409911842908219,-0.03409911842908219,0.01,False,169,0,2015-01-02,2016-01-04
DTE,ES,2016-01-07,2016-01-12,long_A_short_B,0.011569476369170939,0.0015694763691709388,0.01,True,5,0,2015-01-02,2016-01-04
DTE,ES,2016-01-13,2016-06-30,short_A_long_B,-0.06811256627207807,-0.07811256627207806,0.01,False,169,0,2015-01-02,2016-01-04
DTE,PNW,2016-01-19,2016-02-03,short_A_long_B,0.0259343020314593,0.015934302031459298,0.01,True,15,0,2015-01-02,2016-01-04
DTE,PNW,2016-02-25,2016-06-30,long_A_short_B,0.009802001213431,-0.00019799878656900048,0.01,False,126,0,2015-01-02,2016-01-04
ES,PNW,2016-01-26,2016-02-03,short_A_long_B,0.03149894851425916,0.02149894851425916,0.01,True,8,0,2015-01-02,2016-01-04
ES,PNW,2016-02-05,2016-06-30,long_A_short_B,-0.0793767936277423,-0.0893767936277423,0.01,False,146,0,2015-01-02,2016-01-04
AEP,SO,2016-01-11,2016-01-20,short_A_long_B,0.021295071977718516,0.011295071977718516,0.01,True,9,0,2015-01-02,2016-01-04
AEP,SO,2016-02-03,2016-02-12,short_A_long_B,0.03284960341622278,0.02284960341622278,0.01,True,9,0,2015-01-02,2016-01-04
AEP,SO,2016-03-01,2016-06-30,short_A_long_B,-0.003273090336681328,-0.013273090336681328,0.01,False,121,0,2015-01-02,2016-01-04
AEP,ES,2016-01-25,2016-02-08,long_A_short_B,0.04436406768632528,0.03436406768632528,0.01,True,14,0,2015-01-02,2016-01-04
AEP,ES,2016-04-06,2016-06-30,short_A_long_B,-0.015606180440909778,-0.02560618044090978,0.01,False,85,0,2015-01-02,2016-01-04
PNW,SO,2016-01-11,2016-01-19,short_A_long_B,0.02194037595521592,0.011940375955215918,0.01,True,8,0,2015-01-02,2016-01-04
PNW,SO,2016-02-16,2016-02-24,long_A_short_B,0.02461632924286894,0.01461632924286894,0.01,True,8,0,2015-01-02,2016-01-04
PNW,SO,2016-03-01,2016-06-30,short_A_long_B,-0.061891245937177874,-0.07189124593717787,0.01,False,121,0,2015-01-02,2016-01-04
PRU,RF,2016-01-07,2016-01-25,long_A_short_B,0.07504193643931811,0.06504193643931812,0.01,True,18,0,2015-01-02,2016-01-04
PRU,RF,2016-03-01,2016-04-28,short_A_long_B,0.08079653244328089,0.0707965324432809,0.01,True,58,0,2015-01-02,2016-01-04
PRU,RF,2016-05-11,2016-06-30,long_A_short_B,0.015458801192568594,0.005458801192568594,0.01,False,50,0,2015-01-02,2016-01-04
DTE,SO,2016-01-12,2016-06-30,short_A_long_B,-0.0846994291479708,-0.09469942914797079,0.01,False,170,0,2015-01-02,2016-01-04
TFC,WFC,2016-02-01,2016-02-09,long_A_short_B,0.0413162291003184,0.0313162291003184,0.01,True,8,0,2015-01-02,2016-01-04
TFC,WFC,2016-02-17,2016-06-30,short_A_long_B,-0.09968660014347397,-0.10968660014347396,0.01,False,134,0,2015-01-02,2016-01-04
EQR,FRT,2016-01-14,2016-03-04,long_A_short_B,0.0013992863850562642,-0.008600713614943736,0.01,True,50,0,2015-01-02,2016-01-04
EQR,FRT,2016-03-17,2016-03-28,long_A_short_B,0.034426236585730186,0.024426236585730184,0.01,True,11,0,2015-01-02,2016-01-04
EQR,FRT,2016-04-05,2016-06-30,long_A_short_B,-0.1316989644432982,-0.14169896444329821,0.01,False,86,0,2015-01-02,2016-01-04
ES,WEC,2016-01-14,2016-06-30,long_A_short_B,-0.07901134148632472,-0.08901134148632471,0.01,False,168,0,2015-01-02,2016-01-04
ES,SO,2016-01-08,2016-05-20,short_A_long_B,-0.02226823306175163,-0.03226823306175163,0.01,True,133,0,2015-01-02,2016-01-04
ES,SO,2016-05-25,2016-06-30,long_A_short_B,0.007611501026181022,-0.002388498973818978,0.01,False,36,0,2015-01-02,2016-01-04
BRO,MRSH,2016-01-07,2016-03-07,long_A_short_B,0.03378247890255581,0.02378247890255581,0.01,True,60,0,2015-01-02,2016-01-04
BRO,MRSH,2016-03-21,2016-06-30,short_A_long_B,0.08790696654434815,0.07790696654434816,0.01,False,101,0,2015-01-02,2016-01-04
