pair,entry_date,exit_date,return_before_cost,direction,converged,days_open,window_id
"('AEP', 'DTE')",2016-01-25,2016-02-10,0.03668759752022144,long_A_short_B,True,16,0
"('AEP', 'DTE')",2016-04-28,2016-06-30,-0.013417009989490358,long_A_short_B,False,63,0
"('DTE', 'ES')",2016-03-04,2016-04-05,0.030278762440454354,long_A_short_B,True,32,0
"('DTE', 'ES')",2016-05-17,2016-06-30,-0.03895397155956748,short_A_long_B,False,44,0
"('DTE', 'PNW')",2016-01-26,2016-02-11,0.03721516237222744,short_A_long_B,True,16,0
"('DTE', 'PNW')",2016-03-31,2016-06-30,0.012646421923216078,long_A_short_B,False,91,0
"('ES', 'PNW')",2016-01-26,2016-02-03,0.03149894851425916,short_A_long_B,True,8,0
"('ES', 'PNW')",2016-03-31,2016-06-30,-0.05400227402948832,long_A_short_B,False,91,0
"('AEP', 'SO')",2016-02-03,2016-06-30,0.0037297123346169414,short_A_long_B,False,148,0
"('AEP', 'ES')",2016-06-07,2016-06-30,0.010853803448087396,short_A_long_B,False,23,0
"('PNW', 'SO')",2016-02-03,2016-06-30,-0.04251592117349001,short_A_long_B,False,148,0
"('PRU', 'RF')",2016-01-25,2016-02-05,0.06765492191698419,short_A_long_B,True,11,0
"('PRU', 'RF')",2016-02-16,2016-02-17,0.05236187404038173,long_A_short_B,True,1,0
"('PRU', 'RF')",2016-02-25,2016-04-27,0.08101407893170953,short_A_long_B,True,62,0
"('PRU', 'RF')",2016-05-26,2016-06-27,0.03457651821408758,long_A_short_B,True,32,0
"('DTE', 'SO')",2016-01-29,2016-06-30,-0.06378526882941893,short_A_long_B,False,153,0
"('TFC', 'WFC')",2016-01-21,2016-02-26,0.047860543061480465,long_A_short_B,True,36,0
"('TFC', 'WFC')",2016-05-18,2016-06-30,-0.04982120339484619,short_A_long_B,False,43,0
"('EQR', 'FRT')",2016-01-14,2016-06-30,-0.1429885438011499,long_A_short_B,False,168,0
"('ES', 'WEC')",2016-02-05,2016-06-30,-0.050196468471066735,long_A_short_B,False,146,0
