ticker_A,ticker_B,entry_date,exit_date,direction,return_before_cost,return_after_cost,transaction_cost,converged,days_open,window_id,formation_start,trading_start
AEP,DTE,2016-01-25,2016-02-10,long_A_short_B,0.03668759752022144,0.026687597520221436,0.01,True,16,0,2015-01-02,2016-01-04
AEP,DTE,2016-04-28,2016-06-30,long_A_short_B,-0.013417009989490358,-0.02341700998949036,0.01,False,63,0,2015-01-02,2016-01-04
DTE,ES,2016-03-04,2016-04-05,long_A_short_B,0.030278762440454354,0.020278762440454352,0.01,True,32,0,2015-01-02,2016-01-04
DTE,ES,2016-05-17,2016-06-30,short_A_long_B,-0.03895397155956748,-0.04895397155956748,0.01,False,44,0,2015-01-02,2016-01-04
DTE,PNW,2016-01-26,2016-02-11,short_A_long_B,0.03721516237222744,0.027215162372227437,0.01,True,16,0,2015-01-02,2016-01-04
DTE,PNW,2016-03-31,2016-06-30,long_A_short_B,0.012646421923216078,0.0026464219232160777,0.01,False,91,0,2015-01-02,2016-01-04
ES,PNW,2016-01-26,2016-02-03,short_A_long_B,0.03149894851425916,0.02149894851425916,0.01,True,8,0,2015-01-02,2016-01-04
ES,PNW,2016-03-31,2016-06-30,long_A_short_B,-0.05400227402948832,-0.06400227402948831,0.01,False,91,0,2015-01-02,2016-01-04
AEP,SO,2016-02-03,2016-06-30,short_A_long_B,0.0037297123346169414,-0.006270287665383059,0.01,False,148,0,2015-01-02,2016-01-04
AEP,ES,2016-06-07,2016-06-30,short_A_long_B,0.010853803448087396,0.0008538034480873955,0.01,False,23,0,2015-01-02,2016-01-04
PNW,SO,2016-02-03,2016-06-30,short_A_long_B,-0.04251592117349001,-0.052515921173490014,0.01,False,148,0,2015-01-02,2016-01-04
PRU,RF,2016-01-25,2016-02-05,short_A_long_B,0.06765492191698419,0.05765492191698419,0.01,True,11,0,2015-01-02,2016-01-04
PRU,RF,2016-02-16,2016-02-17,long_A_short_B,0.05236187404038173,0.042361874040381726,0.01,True,1,0,2015-01-02,2016-01-04
PRU,RF,2016-02-25,2016-04-27,short_A_long_B,0.08101407893170953,0.07101407893170954,0.01,True,62,0,2015-01-02,2016-01-04
