window_id,formation_start,formation_end,strategy,ticker_A,ticker_B,ssd_value,coint_pvalue,beta,copula_type
0,2015-01-02,2015-12-31,Distance,AEP,DTE,0.047393303950127016,,,
0,2015-01-02,2015-12-31,Distance,DTE,ES,0.05121786774019878,,,
0,2015-01-02,2015-12-31,Distance,DTE,PNW,0.05583764235477707,,,
0,2015-01-02,2015-12-31,Distance,ES,PNW,0.06751922802028715,,,
0,2015-01-02,2015-12-31,Distance,AEP,SO,0.07065423579837443,,,
0,2015-01-02,2015-12-31,Distance,AEP,ES,0.07236978703996291,,,
0,2015-01-02,2015-12-31,Distance,PNW,SO,0.07494818135336773,,,
0,2015-01-02,2015-12-31,Distance,PRU,RF,0.07991856058740376,,,
0,2015-01-02,2015-12-31,Distance,DTE,SO,0.08078759182509088,,,
0,2015-01-02,2015-12-31,Distance,TFC,WFC,0.08507834638853136,,,
0,2015-01-02,2015-12-31,Distance,EQR,FRT,0.0856278717684498,,,
0,2015-01-02,2015-12-31,Distance,ES,WEC,0.09880417424703207,,,
0,2015-01-02,2015-12-31,Distance,ES,SO,0.10229328380730138,,,
0,2015-01-02,2015-12-31,Distance,BRO,MRSH,0.10294529958719761,,,
0,2015-01-02,2015-12-31,Distance,L,TROW,0.10465014821706148,,,
0,2015-01-02,2015-12-31,Distance,AEP,PNW,0.10663498355406426,,,
0,2015-01-02,2015-12-31,Distance,AVB,EQR,0.10730865221591494,,,
0,2015-01-02,2015-12-31,Distance,DHR,RSG,0.10913119139838837,,,
0,2015-01-02,2015-12-31,Distance,KIM,REG,0.11173662315454998,,,
0,2015-01-02,2015-12-31,Distance,ITW,OMC,0.11602905892104681,,,
0,2015-01-02,2015-12-31,Cointegration,DTE,ES,0.05121786774019878,0.049608229883119324,0.7441277631049463,
0,2015-01-02,2015-12-31,Cointegration,DTE,PNW,0.05583764235477707,0.009120488238027583,0.9844040763687038,
0,2015-01-02,2015-12-31,Cointegration,ES,PNW,0.06751922802028715,0.006339472231947284,1.2604378804693868,
0,2015-01-02,2015-12-31,Cointegration,AEP,SO,0.07065423579837443,0.00029642074390813614,0.8396546246340992,
0,2015-01-02,2015-12-31,Cointegration,PRU,RF,0.07991856058740376,0.00115133367489894,0.12250692509061614,
0,2015-01-02,2015-12-31,Cointegration,TFC,WFC,0.08507834638853136,0.04115000603423602,1.2474611370830841,
0,2015-01-02,2015-12-31,Cointegration,EQR,FRT,0.0856278717684498,0.002488394542603034,2.1353948931372067,
0,2015-01-02,2015-12-31,Cointegration,AEP,PNW,0.10663498355406426,0.01439760407482205,1.310999527268517,
0,2015-01-02,2015-12-31,Cointegration,DHR,RSG,0.10913119139838837,0.01276203223479605,0.8132282098225824,
0,2015-01-02,2015-12-31,Cointegration,AMT,JNJ,0.13019923549317264,0.04320647783275164,0.6594973106002648,
0,2015-01-02,2015-12-31,Cointegration,KIM,O,0.13061426950061156,0.010336584774827701,1.584952073778549,
0,2015-01-02,2015-12-31,Cointegration,AEP,WEC,0.13285048907346103,0.03199411970212045,1.0727282223164696,
0,2015-01-02,2015-12-31,Cointegration,CL,OMC,0.13882730017958061,0.0006226331470306287,1.2326823227950854,
0,2015-01-02,2015-12-31,Cointegration,BLK,ITW,0.14024370345919895,0.002582217846448917,0.19579731883249812,
0,2015-01-02,2015-12-31,Cointegration,HON,WFC,0.14931692425303944,0.00023676895343545864,0.5849682638416902,
0,2015-01-02,2015-12-31,Cointegration,MRSH,TFC,0.15552588814174192,0.02405384879451421,0.6727917688850544,
0,2015-01-02,2015-12-31,Cointegration,GD,SYK,0.15776651569840355,0.005220143581647143,0.5382701100378429,
0,2015-01-02,2015-12-31,Cointegration,BDX,TMO,0.16260263600882463,0.023512084562804087,1.1694729066204812,
0,2015-01-02,2015-12-31,Cointegration,PNW,WEC,0.16352776556259205,0.007101065080027697,0.8029818156916068,
0,2015-01-02,2015-12-31,Cointegration,PEP,RSG,0.1642260757425041,0.006334273807437483,0.5650273667941559,
0,2015-01-02,2015-12-31,Copula,AEP,DTE,0.047393303950127016,,,t
0,2015-01-02,2015-12-31,Copula,DTE,ES,0.05121786774019878,,,t
0,2015-01-02,2015-12-31,Copula,DTE,PNW,0.05583764235477707,,,t
0,2015-01-02,2015-12-31,Copula,ES,PNW,0.06751922802028715,,,t
0,2015-01-02,2015-12-31,Copula,AEP,SO,0.07065423579837443,,,t
0,2015-01-02,2015-12-31,Copula,AEP,ES,0.07236978703996291,,,t
0,2015-01-02,2015-12-31,Copula,PNW,SO,0.07494818135336773,,,t
0,2015-01-02,2015-12-31,Copula,PRU,RF,0.07991856058740376,,,t
0,2015-01-02,2015-12-31,Copula,DTE,SO,0.08078759182509088,,,t
0,2015-01-02,2015-12-31,Copula,TFC,WFC,0.08507834638853136,,,t
0,2015-01-02,2015-12-31,Copula,EQR,FRT,0.0856278717684498,,,t
0,2015-01-02,2015-12-31,Copula,ES,WEC,0.09880417424703207,,,t
0,2015-01-02,2015-12-31,Copula,ES,SO,0.10229328380730138,,,t
0,2015-01-02,2015-12-31,Copula,BRO,MRSH,0.10294529958719761,,,t
0,2015-01-02,2015-12-31,Copula,L,TROW,0.10465014821706148,,,t
0,2015-01-02,2015-12-31,Copula,AEP,PNW,0.10663498355406426,,,t
0,2015-01-02,2015-12-31,Copula,AVB,EQR,0.10730865221591494,,,t
0,2015-01-02,2015-12-31,Copula,DHR,RSG,0.10913119139838837,,,t
0,2015-01-02,2015-12-31,Copula,KIM,REG,0.11173662315454998,,,t
0,2015-01-02,2015-12-31,Copula,ITW,OMC,0.11602905892104681,,,t
1,2015-02-02,2016-01-29,Distance,CMS,XEL,0.031962701311911576,,,
1,2015-02-02,2016-01-29,Distance,ES,PNW,0.034076887775678244,,,
1,2015-02-02,2016-01-29,Distance,DTE,PNW,0.05233862215879996,,,
1,2015-02-02,2016-01-29,Distance,PNW,WEC,0.05424814196844816,,,
1,2015-02-02,2016-01-29,Distance,DTE,ES,0.05494043104896993,,,
1,2015-02-02,2016-01-29,Distance,AEP,SO,0.05733112103535773,,,
1,2015-02-02,2016-01-29,Distance,AEE,CMS,0.05985023176416647,,,
1,2015-02-02,2016-01-29,Distance,ES,WEC,0.0641723632359664,,,
1,2015-02-02,2016-01-29,Distance,AEE,XEL,0.06499270798182594,,,
1,2015-02-02,2016-01-29,Distance,AEP,PCG,0.0664491704343754,,,
1,2015-02-02,2016-01-29,Distance,ES,SO,0.06958268680269322,,,
