window_id,formation_start,stocks_before_filter,stocks_after_filter
0,2015-01-02,473,458
1,2015-02-02,473,458
2,2015-03-02,473,458
3,2015-04-01,473,459
4,2015-05-01,473,459
5,2015-06-01,473,459
6,2015-07-01,473,459
7,2015-08-03,473,461
8,2015-09-01,473,461
9,2015-10-01,473,461
10,2015-11-02,473,463
11,2015-12-01,473,464
12,2016-01-04,473,464
13,2016-02-01,473,464
14,2016-03-01,473,464
15,2016-04-01,473,464
16,2016-05-02,473,464
17,2016-06-01,473,464
18,2016-07-01,473,464
19,2016-08-01,473,466
20,2016-09-01,473,467
21,2016-10-03,473,467
22,2016-11-01,473,467
23,2016-12-01,473,468
24,2017-01-03,473,468
25,2017-02-01,473,469
26,2017-03-01,473,469
27,2017-04-03,473,469
28,2017-05-01,473,469
29,2017-06-01,473,469
30,2017-07-03,473,468
31,2017-08-01,473,468
32,2017-09-01,473,468
33,2017-10-02,473,469
34,2017-11-01,473,469
35,2017-12-01,473,469
36,2018-01-02,473,469
37,2018-02-01,473,469
38,2018-03-01,473,469
39,2018-04-02,473,469
40,2018-05-01,473,469
41,2018-06-01,473,469
42,2018-07-02,473,471
43,2018-08-01,473,471
44,2018-09-04,473,471
45,2018-10-01,473,471
46,2018-11-01,473,469
47,2018-12-03,473,467
48,2019-01-02,473,466
49,2019-02-01,473,466
50,2019-03-01,473,465
51,2019-04-01,473,465
52,2019-05-01,473,465
53,2019-06-03,473,465
54,2019-07-01,473,466
55,2019-08-01,473,465
56,2019-09-03,473,465
57,2019-10-01,473,465
58,2019-11-01,473,467
59,2019-12-02,473,469
60,2020-01-02,473,470
61,2020-02-03,473,470
62,2020-03-02,473,471
63,2020-04-01,473,471
64,2020-05-01,473,471
65,2020-06-01,473,471
66,2020-07-01,473,471
67,2020-08-03,473,472
68,2020-09-01,473,472
69,2020-10-01,473,472
70,2020-11-02,473,472
71,2020-12-01,473,472
72,2021-01-04,473,472
73,2021-02-01,473,472
74,2021-03-01,473,472
75,2021-04-01,473,472
76,2021-05-03,473,472
77,2021-06-01,473,472
78,2021-07-01,473,472
79,2021-08-02,473,472
80,2021-09-01,473,472
81,2021-10-01,473,472
82,2021-11-01,473,472
83,2021-12-01,473,472
84,2022-01-03,473,472
85,2022-02-01,473,472
86,2022-03-01,473,472
87,2022-04-01,473,472
88,2022-05-02,473,472
89,2022-06-01,473,472
90,2022-07-01,473,472
91,2022-08-01,473,472
92,2022-09-01,473,472
93,2022-10-03,473,472
94,2022-11-01,473,472
95,2022-12-01,473,472
96,2023-01-03,473,472
97,2023-02-01,473,472
98,2023-03-01,473,472
99,2023-04-03,473,472
100,2023-05-01,473,472
101,2023-06-01,473,472
102,2023-07-03,473,472
